City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,9.86,72,73,8.62,CL,1705712077
1,monte alegre,-2.0078,-54.0692,25.92,80,42,1.97,BR,1705712077
2,adamstown,-25.066,-130.1015,24.43,79,40,6.93,PN,1705712077
3,ribeira grande,38.5167,-28.7,14.87,90,97,2.68,PT,1705712077
4,whitehorse,60.7161,-135.0538,-25.39,71,20,1.54,CA,1705712003
5,barmer,25.75,71.3833,13.51,23,0,2.72,IN,1705712077
6,yellowknife,62.456,-114.3525,-22.71,84,20,1.54,CA,1705712078
7,uturoa,-16.7333,-151.4333,28.13,70,13,2.33,PF,1705712078
8,dunedin,-45.8742,170.5036,26.15,65,75,2.68,NZ,1705712078
9,port-aux-francais,-49.35,70.2167,6.2,82,100,10.95,TF,1705712078
10,puerto ayora,-0.7393,-90.3518,25.86,95,64,2.24,EC,1705712079
11,bethel,41.3712,-73.414,-3.37,70,100,3.09,US,1705711832
12,aasiaat,68.7098,-52.8699,-13.02,82,100,8.54,GL,1705712079
13,chita,52.0333,113.55,-35.06,68,62,0.0,RU,1705712079
14,fort-shevchenko,44.5086,50.263,5.8,82,100,15.6,KZ,1705712079
15,porto novo,6.4965,2.6036,28.9,77,5,2.29,BJ,1705712079
16,margaret river,-33.95,115.0667,22.51,55,0,0.48,AU,1705712080
17,grytviken,-54.2811,-36.5092,4.95,97,100,2.81,GS,1705712080
18,edinburgh of the seven seas,-37.0676,-12.3116,15.64,64,7,4.56,SH,1705712080
19,ilulissat,69.2167,-51.1,-9.99,79,100,6.17,GL,1705712080
20,tommot,58.9564,126.2925,-26.0,97,100,1.65,RU,1705712080
21,saipan,15.1355,145.701,27.39,61,75,11.32,MP,1705712080
22,albany,42.6001,-73.9662,-6.29,71,100,0.89,US,1705712080
23,cesme,38.3228,26.3064,13.84,94,20,2.57,TR,1705712080
24,hawaiian paradise park,19.5933,-154.9731,26.73,79,0,5.66,US,1705712081
25,tsiombe,-25.3,45.4833,23.67,91,94,5.01,MG,1705712081
26,sousa,-6.7592,-38.2281,26.5,73,97,3.62,BR,1705712081
27,nizhneudinsk,54.9076,99.0276,-25.57,98,47,1.34,RU,1705712081
28,suva,-18.1416,178.4415,30.71,79,75,3.6,FJ,1705711788
29,nouadhibou,20.931,-17.0347,19.99,77,4,6.69,MR,1705712082
30,praia da vitoria,38.7333,-27.0667,17.14,67,20,4.39,PT,1705712082
31,ushuaia,-54.8,-68.3,7.81,61,75,8.75,AR,1705712082
32,remire-montjoly,4.9167,-52.2667,26.02,89,75,3.6,GF,1705712082
33,kidal,18.4411,1.4078,20.13,10,32,3.86,ML,1705712082
34,bilibino,68.0546,166.4372,-15.38,97,99,0.61,RU,1705712082
35,tiksi,71.6872,128.8694,-31.71,96,100,4.21,RU,1705712083
36,skeldon,5.8833,-57.1333,25.93,81,8,4.34,GY,1705712083
37,punta del este,-34.9667,-54.95,19.42,81,75,6.17,UY,1705712083
38,holualoa,19.6228,-155.9522,25.99,77,20,6.69,US,1705712083
39,nova sintra,14.8667,-24.7167,20.3,67,37,10.48,CV,1705712083
40,puerto leguizamo,-0.1934,-74.7819,23.68,94,99,1.34,CO,1705712084
41,blackmans bay,-43.0167,147.3167,19.29,73,100,0.45,AU,1705712084
42,lebu,-37.6167,-73.65,14.32,81,0,10.42,CL,1705712084
43,waitangi,-43.9535,-176.5597,19.9,94,18,11.09,NZ,1705712084
44,fort bragg,35.139,-79.006,4.91,40,0,8.23,US,1705712084
45,tabora,-5.0167,32.8,17.98,96,100,1.2,TZ,1705712084
46,el calafate,-50.3408,-72.2768,10.13,72,64,5.31,AR,1705712084
47,georgetown,5.4112,100.3354,27.19,95,20,2.06,MY,1705711856
48,atafu village,-8.5421,-172.5159,29.43,68,97,6.58,TK,1705712085
49,almodovar,37.4959,-8.0937,9.15,96,5,3.92,PT,1705712085
50,churachandpur,24.3333,93.6667,4.85,87,2,0.81,IN,1705712085
51,polyarnyy,69.1989,33.4478,-6.66,92,100,4.92,RU,1705712085
52,ejura,7.3856,-1.3562,25.79,39,0,2.16,GH,1705712085
53,iskateley,67.6803,53.1512,-12.77,93,100,7.15,RU,1705712085
54,levuka,50.1834,-105.4011,-16.16,97,92,2.67,CA,1705712085
55,carbonear,47.7332,-53.2148,-1.99,78,99,9.64,CA,1705712086
56,badger,64.8,-147.5333,-22.07,76,0,0.0,US,1705712086
57,olonkinbyen,70.9221,-8.7187,-0.98,74,100,9.75,SJ,1705712086
58,ruidoso,33.3317,-105.673,5.84,42,0,4.12,US,1705712086
59,kapuskasing,49.4169,-82.4331,-16.0,72,75,5.66,CA,1705711921
60,constantia,44.1833,28.65,1.5,86,100,8.6,RO,1705712086
61,mabaruma,8.2,-59.7833,23.67,84,5,2.26,GY,1705712086
62,tofol,5.3248,163.0078,25.88,94,100,9.26,FM,1705712086
63,hithadhoo,-0.6,73.0833,27.77,69,29,3.46,MV,1705712087
64,iqaluit,63.7506,-68.5145,-20.15,71,0,6.17,CA,1705712087
65,tolanaro,-25.0319,46.9987,25.04,94,75,4.12,MG,1705712087
66,besbes,36.7022,7.8472,13.91,82,100,2.57,DZ,1705712087
67,abong mbang,3.9833,13.1833,19.58,29,4,0.88,CM,1705712087
68,ghat,24.9647,10.1728,18.97,8,100,2.2,LY,1705712087
69,papatowai,-46.5619,169.4708,19.71,60,24,5.75,NZ,1705712088
70,hailar,49.2,119.7,-26.55,90,100,2.68,CN,1705712088
71,ciudad lazaro cardenas,17.9583,-102.2,26.19,73,100,2.29,MX,1705712088
72,gamba,-2.65,10.0,25.67,90,4,2.6,GA,1705712088
73,ain sefra,32.75,-0.5833,7.42,79,6,3.35,DZ,1705712088
74,alofi,-19.0595,-169.9187,29.94,79,75,4.12,NU,1705712088
75,ingeniero jacobacci,-41.3427,-69.5448,21.54,14,0,5.86,AR,1705712088
76,bredasdorp,-34.5322,20.0403,19.3,84,0,2.35,ZA,1705712088
77,palembang,-2.9167,104.7458,25.05,94,75,3.09,ID,1705712089
78,puerto baquerizo moreno,-0.9,-89.6,25.26,87,53,3.74,EC,1705712089
79,coquimbo,-29.9533,-71.3436,17.85,82,0,3.6,CL,1705712089
80,mulayjah,27.271,48.4242,14.41,50,9,4.37,SA,1705712089
81,alo,7.4178,6.7371,24.31,18,0,0.24,NG,1705712089
82,chonchi,-42.6128,-73.8092,16.56,77,0,2.36,CL,1705712089
83,sitka,57.0531,-135.33,3.94,52,100,2.57,US,1705712089
84,invercargill,-46.4,168.35,18.9,74,85,3.58,NZ,1705712089
85,udachny,66.4167,112.4,-31.42,82,100,2.01,RU,1705712090
86,kuala lipis,4.1842,102.0468,23.24,88,100,0.52,MY,1705712090
87,klyuchi,52.2667,79.1667,-16.0,89,99,2.77,RU,1705712090
